written;hostname;services;procedure;stratos
yes;HACMP_EAS_SAP_FE1;Gateway;http://monitoring-dc.app.corp/kb/system:aix:gateway;OP_SYSTEM_UNIX, OP_FR_PILOTS
yes;HACMP_EAS_SAP_FE1;HACMP;http://monitoring-dc.app.corp/kb/system:hacmp;OP_SYSTEM_UNIX, OP_FR_PILOTS
yes;HACMP_EAS_SAP_FE1;NFS_Share_Usr_sap_trans_availability;http://monitoring-dc.app.corp/kb/app:fcs:prod:nfs_share;OP_SYSTEM_UNIX, OP_FR_PILOTS
yes;HACMP_EAS_SAP_FE1;Partition_DB2_FE1_log_dir_used_space;http://monitoring-dc.app.corp/kb/app:fcs:prod:log_dir_partitions;OP_SYSTEM_UNIX, OP_FR_PILOTS
yes;HACMP_EAS_SAP_FE1;Partition_DB2_galaxy_arch_used_space;http://monitoring-dc.app.corp/kb/special:HACMP_EAS_SAP_FE1:Partition_DB2_galaxy_arch_used_space;OP_SYSTEM_UNIX, OP_FR_PILOTS
yes;HACMP_EAS_SAP_FE1;Partition_Sap_used_space;http://monitoring-dc.app.corp/kb/app:fcs:prod:sap;OP_SYSTEM_UNIX, OP_FR_PILOTS
yes;HACMP_EAS_SAP_FE1;Partition_Sapdata_used_space;http://monitoring-dc.app.corp/kb/app:fcs:prod:sapdata;OP_SYSTEM_UNIX, OP_FR_PILOTS
yes;HACMP_EAS_SAP_FE1;Partition_Sapmnt_used_space;http://monitoring-dc.app.corp/kb/app:fcs:prod:sapmnt;OP_SYSTEM_UNIX, OP_FR_PILOTS
no;HACMP_EAS_SAP_FE1;Partition_Usr_sap_FEM_used_space;http://monitoring-dc.app.corp/kb/app:sap:partition;OP_SYSTEM_UNIX, OP_FR_PILOTS
no;HACMP_EAS_SAP_FE1;Partition_Usr_sap_FG1_used_space;http://monitoring-dc.app.corp/kb/app:sap:partition;OP_SYSTEM_UNIX, OP_FR_PILOTS
yes;HACMP_EAS_SAP_FE1;Partition_db2_dump_used_space;http://monitoring-dc.app.corp/kb/app:fcs:prod:db2dump;OP_SYSTEM_UNIX, OP_FR_PILOTS
yes;HACMP_EAS_SAP_FE1;Partition_db2_instance_used_space;http://monitoring-dc.app.corp/kb/app:fcs:prod:db2_instance;OP_SYSTEM_UNIX, OP_FR_PILOTS
yes;HACMP_EAS_SAP_FE1;Partition_db2_software_used_space;http://monitoring-dc.app.corp/kb/app:fcs:prod:db2_software;OP_SYSTEM_UNIX, OP_FR_PILOTS
yes;HACMP_EAS_SAP_FE1;Partition_sap_home_used_space;http://monitoring-dc.app.corp/kb/app:fcs:prod:sap_home;OP_SYSTEM_UNIX, OP_FR_PILOTS
no;HACMP_EAS_SAP_FE1;Partitions_free_space;http://monitoring-dc.app.corp/kb/system:aix:partition:;OP_SYSTEM_UNIX, OP_FR_PILOTS
no;HACMP_EAS_SAP_FE1;Process_Jlaunch;http://monitoring-dc.app.corp/kb/system:aix:process;OP_SYSTEM_UNIX, OP_FR_PILOTS
yes;HACMP_EAS_SAP_FE1;SAP_Status;http://monitoring-dc.app.corp/kb/app:fcs:prod:sap_status;OP_SYSTEM_UNIX, OP_FR_PILOTS
yes;HACMP_EAS_SAP_FE1;SNMP;http://monitoring-dc.app.corp/kb/monitoring:snmp;OP_SYSTEM_UNIX, OP_FR_PILOTS
yes;HACMP_EAS_SAP_FE1;SSH;http://monitoring-dc.app.corp/kb/monitoring:ssh;OP_SYSTEM_UNIX, OP_FR_PILOTS
no;HACMP_EAS_SAP_FE1;URL_SAP_NetWeaver_Portal_FE1;http://monitoring-dc.app.corp/kb/app:sap:url;OP_SYSTEM_UNIX, OP_FR_PILOTS
yes;HACMP_EAS_SAP_FR1;DB2_Status;http://monitoring-dc.app.corp/kb/app:fcs:prod:db2_status;OP_SYSTEM_UNIX, OP_FR_PILOTS
yes;HACMP_EAS_SAP_FR1;Gateway;http://monitoring-dc.app.corp/kb/system:aix:gateway;OP_SYSTEM_UNIX, OP_FR_PILOTS
yes;HACMP_EAS_SAP_FR1;HACMP;http://monitoring-dc.app.corp/kb/system:hacmp;OP_SYSTEM_UNIX, OP_FR_PILOTS
yes;HACMP_EAS_SAP_FR1;NFS_Share_Archives_availability;http://monitoring-dc.app.corp/kb/app:fcs:prod:nfs_share;OP_SYSTEM_UNIX, OP_FR_PILOTS
yes;HACMP_EAS_SAP_FR1;NFS_Share_Data_interface_availability;http://monitoring-dc.app.corp/kb/app:fcs:prod:nfs_share;OP_SYSTEM_UNIX, OP_FR_PILOTS
yes;HACMP_EAS_SAP_FR1;NFS_Share_Usr_sap_trans_availability;http://monitoring-dc.app.corp/kb/app:fcs:prod:nfs_share;OP_SYSTEM_UNIX, OP_FR_PILOTS
yes;HACMP_EAS_SAP_FR1;Partition_DB2_FR1_log_dir_used_space;http://monitoring-dc.app.corp/kb/app:fcs:prod:log_dir_partitions;OP_SYSTEM_UNIX, OP_FR_PILOTS
yes;HACMP_EAS_SAP_FR1;Partition_DB2_galaxy_arch_used_space;http://monitoring-dc.app.corp/kb/special:HACMP_EAS_SAP_FR1:Partition_DB2_galaxy_arch_used_space;OP_SYSTEM_UNIX, OP_FR_PILOTS
yes;HACMP_EAS_SAP_FR1;Partition_Sap_used_space;http://monitoring-dc.app.corp/kb/app:fcs:prod:sap;OP_SYSTEM_UNIX, OP_FR_PILOTS
yes;HACMP_EAS_SAP_FR1;Partition_Sapdata_used_space;http://monitoring-dc.app.corp/kb/app:fcs:prod:sapdata;OP_SYSTEM_UNIX, OP_FR_PILOTS
yes;HACMP_EAS_SAP_FR1;Partition_Sapmnt_used_space;http://monitoring-dc.app.corp/kb/app:fcs:prod:sapmnt;OP_SYSTEM_UNIX, OP_FR_PILOTS
